[2019-03-03 00:07:35Z] 00000028-AgebullMac:Background:4A3H-LUCAAKSGCL-iT3F8LAAEF > UserManage : sys/org/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000029-AgebullMac:Background:4A3H-61Ji120J7J-LEK6PARGPP > UserManage : sys/org/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 0000002A-AgebullMac:Background:4A3H-SSU42WVi6U-R9R2TR9F1Z > UserManage : sys/org/v1/edit/list(List)
[2019-03-03 00:07:35Z] 0000002B-AgebullMac:Background:4A3H-0M6PYA7LB2-0V3NQFL27J > UserManage : sys/org/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 0000002C-AgebullMac:Background:4A3H-RR7F5RBJ18-KAAFGiUH1L > UserManage : sys/org/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 0000002D-AgebullMac:Background:4A3H-VKAi0S708S-ASB6N5Z6R6 > UserManage : sys/org/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000002E-AgebullMac:Background:4A3H-JMRKTUX61Q-JEN9KABQWN > UserManage : sys/org/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000002F-AgebullMac:Background:4A3H-8RZZPZi477-Ni0JCSALQF > UserManage : sys/post/v1/edit/tree(Tree)
[2019-03-03 00:07:35Z] 00000030-AgebullMac:Background:4A3H-JEM02170MU-iHJ3T5LEi3 > UserManage : sys/post/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 00000031-AgebullMac:Background:4A3H-S7Z5YCJYSJ-7R0XM7B3AQ > UserManage : sys/post/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 00000032-AgebullMac:Background:4A3H-i11N5QPGHG-CK6CQ9TZMK > UserManage : sys/post/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 00000033-AgebullMac:Background:4A3H-LHLTV1RXX1-iGCiUFALZE > UserManage : sys/post/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 00000034-AgebullMac:Background:4A3H-H4X6EZZQ3E-X9YM2HQ7LR > UserManage : sys/post/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000035-AgebullMac:Background:4A3H-6HDV7BPMWV-LTEHVTFHED > UserManage : sys/post/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000036-AgebullMac:Background:4A3H-SPN58ZJMW6-6QPLWTACE9 > UserManage : sys/post/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000037-AgebullMac:Background:4A3H-51FP57GWZG-JUGST77YH0 > UserManage : sys/post/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000038-AgebullMac:Background:4A3H-V2HYCFLYP3-A7ii0ZC87V > UserManage : sys/post/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 00000039-AgebullMac:Background:4A3H-Z42G2ANN48-DD3GQ1EEMZ > UserManage : sys/post/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000003A-AgebullMac:Background:4A3H-4U5LX2J1CD-iA6iKiAGUB > UserManage : sys/post/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000003B-AgebullMac:Background:4A3H-9PBG0P1AP7-4PG7KU56U3 > UserManage : UserCenter/Account/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 0000003C-AgebullMac:Background:4A3H-DDWAQ1394U-S7XMDFUXMZ > UserManage : UserCenter/Account/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 0000003D-AgebullMac:Background:4A3H-3GY6XD8CTJ-M5DNLMJHA6 > UserManage : UserCenter/Account/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 0000003E-AgebullMac:Background:4A3H-C7YJMRVZ7H-RSZTB0L8Q1 > UserManage : UserCenter/Account/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 0000003F-AgebullMac:Background:4A3H-HL4GR2CMJL-X55XE04L2S > UserManage : UserCenter/Account/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000040-AgebullMac:Background:4A3H-6iKUJQ23CP-K2LG7ZT8V8 > UserManage : UserCenter/Account/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000041-AgebullMac:Background:4A3H-FJB0CKLE4V-B22UBR5C7L > UserManage : UserCenter/Account/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000042-AgebullMac:Background:4A3H-5VDQJLR1Ui-K8E67YHACG > UserManage : UserCenter/Account/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000043-AgebullMac:Background:4A3H-QNNSKLL9T6-5iP986CMBR > UserManage : UserCenter/Account/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 00000044-AgebullMac:Background:4A3H-UL819FNP98-9GPDUCMZEW > UserManage : UserCenter/Account/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 00000045-AgebullMac:Background:4A3H-88RZ9SHJR7-NJSVXN8C9F > UserManage : UserCenter/Account/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 00000046-AgebullMac:Background:4A3H-D7X2DCZL3T-TEYN1URZLF > UserManage : uc/LoginLog/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000047-AgebullMac:Background:4A3H-20DR6VP5W0-XDiKRJT51W > UserManage : uc/LoginLog/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000048-AgebullMac:Background:4A3H-SVCD4Q7RFP-6QDGSXZ4YG > UserManage : uc/LoginLog/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000049-AgebullMac:Background:4A3H-X9i880PZS2-SSNFTUT5Y1 > UserManage : uc/LoginLog/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 0000004A-AgebullMac:Background:4A3H-6BU35T1FYL-0H07P1593D > UserManage : uc/LoginLog/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000004B-AgebullMac:Background:4A3H-BT0E8WJWA4-RU1TWPADTW > UserManage : uc/LoginLog/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000004C-AgebullMac:Background:4A3H-1RZP732XUE-0NWFYNGKQX > UserManage : UserCenter/Person/v1/edit/combo(ComboData)
[2019-03-03 00:07:35Z] 0000004D-AgebullMac:Background:4A3H-U97J621iCR-QZYP5RKGE8 > UserManage : UserCenter/Person/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 0000004E-AgebullMac:Background:4A3H-E5HG79WUCF-UUiXV4MPUS > UserManage : UserCenter/Person/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 0000004F-AgebullMac:Background:4A3H-iC20WHY5SF-YFRQDC06JF > UserManage : UserCenter/Person/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 00000050-AgebullMac:Background:4A3H-9VS1XCDAQA-85PWPUS6KY > UserManage : UserCenter/Person/v1/state/disable(Disable)
[2019-03-03 00:07:35Z] 00000051-AgebullMac:Background:4A3H-XF8WQP3ViR-D0V6SC9TX6 > UserManage : UserCenter/Person/v1/state/enable(Enable)
[2019-03-03 00:07:35Z] 00000052-AgebullMac:Background:4A3H-ST1P40iLX5-CXHLTSUZDW > UserManage : UserCenter/Person/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000053-AgebullMac:Background:4A3H-2TMM9LKY84-2XJP0iZ634 > UserManage : UserCenter/Person/v1/edit/list(List)
[2019-03-03 00:07:35Z] 00000054-AgebullMac:Background:4A3H-RB3W2TA40Y-QQ0WTWNSWF > UserManage : UserCenter/Person/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 00000055-AgebullMac:Background:4A3H-GR579WETQ4-WA6AXZ6L8B > UserManage : UserCenter/Person/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 00000056-AgebullMac:Background:4A3H-69377iYC9F-5807ZRBD5Q > UserManage : UserCenter/Person/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 00000057-AgebullMac:Background:4A3H-Z9BX7NXFSH-UVGXS810Y7 > UserManage : UserCenter/Person/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 00000058-AgebullMac:Background:4A3H-KTL07NSVSQ-ZGMLV3i2AY > UserManage : uc/UserToken/v1/edit/eid(EntityType)
[2019-03-03 00:07:35Z] 00000059-AgebullMac:Background:4A3H-QKSCB79L47-59TMZ806MW > UserManage : uc/UserToken/v1/edit/list(List)
[2019-03-03 00:07:35Z] 0000005A-AgebullMac:Background:4A3H-Y113ZV004F-D52LMSRJMJ > UserManage : uc/UserToken/v1/edit/details(Details)
[2019-03-03 00:07:35Z] 0000005B-AgebullMac:Background:4A3H-377i22HEGE-iX8CQ088ZL > UserManage : uc/UserToken/v1/edit/addnew(AddNew)
[2019-03-03 00:07:35Z] 0000005C-AgebullMac:Background:4A3H-75S5SEJTX4-M8TYFMANEV > UserManage : uc/UserToken/v1/edit/update(Update)
[2019-03-03 00:07:35Z] 0000005D-AgebullMac:Background:4A3H-H0MYU6QTUD-CCSCEVUKZF > UserManage : uc/UserToken/v1/edit/delete(Delete)
[2019-03-03 00:07:35Z] 0000005E-AgebullMac:Background:4A3H-2UXNUWKJTR-H4YEH4B4BW > UserManage : UserCenter/User/v1/state/reset(Reset)
[2019-03-03 00:07:35Z] 0000005F-AgebullMac:Background:4A3H-B296R1X1YD-QBA5EQN8GQ > UserManage : UserCenter/User/v1/state/lock(Lock)
[2019-03-03 00:07:35Z] 00000060-AgebullMac:Background:4A3H-1XAQY71WNX-GLBULJSS6Q > UserManage : UserCenter/User/v1/state/discard(Discard)
[2019-03-03 00:07:35Z] 00000061-AgebullMac:Background:4A3H-L32ZASZiMZ-KGZF1iDNHP > UserManage : UserCenter/User/v1/state/disable(Disable)
